gid;nom;x_min;y_min;x_max;y_max;url
6;18365_51940_5cm_CC46;1836500;5194000;1837000;5194500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51940_5cm_CC46.tif
7;18370_51940_5cm_CC46;1837000;5194000;1837500;5194500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51940_5cm_CC46.tif
8;18375_51940_5cm_CC46;1837500;5194000;1838000;5194500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51940_5cm_CC46.tif
9;18380_51940_5cm_CC46;1838000;5194000;1838500;5194500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51940_5cm_CC46.tif
10;18385_51940_5cm_CC46;1838500;5194000;1839000;5194500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51940_5cm_CC46.tif
11;18355_51935_5cm_CC46;1835500;5193500;1836000;5194000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51935_5cm_CC46.tif
12;18360_51935_5cm_CC46;1836000;5193500;1836500;5194000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51935_5cm_CC46.tif
13;18365_51935_5cm_CC46;1836500;5193500;1837000;5194000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51935_5cm_CC46.tif
14;18370_51935_5cm_CC46;1837000;5193500;1837500;5194000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51935_5cm_CC46.tif
15;18375_51935_5cm_CC46;1837500;5193500;1838000;5194000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51935_5cm_CC46.tif
16;18380_51935_5cm_CC46;1838000;5193500;1838500;5194000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51935_5cm_CC46.tif
17;18385_51935_5cm_CC46;1838500;5193500;1839000;5194000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51935_5cm_CC46.tif
18;18350_51930_5cm_CC46;1835000;5193000;1835500;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18350_51930_5cm_CC46.tif
19;18355_51930_5cm_CC46;1835500;5193000;1836000;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51930_5cm_CC46.tif
20;18360_51930_5cm_CC46;1836000;5193000;1836500;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51930_5cm_CC46.tif
21;18365_51930_5cm_CC46;1836500;5193000;1837000;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51930_5cm_CC46.tif
22;18370_51930_5cm_CC46;1837000;5193000;1837500;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51930_5cm_CC46.tif
23;18375_51930_5cm_CC46;1837500;5193000;1838000;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51930_5cm_CC46.tif
24;18380_51930_5cm_CC46;1838000;5193000;1838500;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51930_5cm_CC46.tif
25;18385_51930_5cm_CC46;1838500;5193000;1839000;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51930_5cm_CC46.tif
26;18390_51930_5cm_CC46;1839000;5193000;1839500;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18390_51930_5cm_CC46.tif
27;18395_51930_5cm_CC46;1839500;5193000;1840000;5193500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18395_51930_5cm_CC46.tif
28;18350_51925_5cm_CC46;1835000;5192500;1835500;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18350_51925_5cm_CC46.tif
29;18355_51925_5cm_CC46;1835500;5192500;1836000;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51925_5cm_CC46.tif
30;18360_51925_5cm_CC46;1836000;5192500;1836500;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51925_5cm_CC46.tif
31;18365_51925_5cm_CC46;1836500;5192500;1837000;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51925_5cm_CC46.tif
32;18370_51925_5cm_CC46;1837000;5192500;1837500;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51925_5cm_CC46.tif
33;18375_51925_5cm_CC46;1837500;5192500;1838000;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51925_5cm_CC46.tif
34;18380_51925_5cm_CC46;1838000;5192500;1838500;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51925_5cm_CC46.tif
35;18385_51925_5cm_CC46;1838500;5192500;1839000;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51925_5cm_CC46.tif
36;18390_51925_5cm_CC46;1839000;5192500;1839500;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18390_51925_5cm_CC46.tif
37;18395_51925_5cm_CC46;1839500;5192500;1840000;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18395_51925_5cm_CC46.tif
38;18400_51925_5cm_CC46;1840000;5192500;1840500;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18400_51925_5cm_CC46.tif
39;18405_51925_5cm_CC46;1840500;5192500;1841000;5193000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18405_51925_5cm_CC46.tif
40;18345_51920_5cm_CC46;1834500;5192000;1835000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18345_51920_5cm_CC46.tif
41;18350_51920_5cm_CC46;1835000;5192000;1835500;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18350_51920_5cm_CC46.tif
42;18355_51920_5cm_CC46;1835500;5192000;1836000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51920_5cm_CC46.tif
43;18360_51920_5cm_CC46;1836000;5192000;1836500;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51920_5cm_CC46.tif
44;18365_51920_5cm_CC46;1836500;5192000;1837000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51920_5cm_CC46.tif
45;18370_51920_5cm_CC46;1837000;5192000;1837500;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51920_5cm_CC46.tif
46;18375_51920_5cm_CC46;1837500;5192000;1838000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51920_5cm_CC46.tif
47;18380_51920_5cm_CC46;1838000;5192000;1838500;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51920_5cm_CC46.tif
48;18385_51920_5cm_CC46;1838500;5192000;1839000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51920_5cm_CC46.tif
49;18390_51920_5cm_CC46;1839000;5192000;1839500;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18390_51920_5cm_CC46.tif
50;18395_51920_5cm_CC46;1839500;5192000;1840000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18395_51920_5cm_CC46.tif
51;18400_51920_5cm_CC46;1840000;5192000;1840500;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18400_51920_5cm_CC46.tif
52;18405_51920_5cm_CC46;1840500;5192000;1841000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18405_51920_5cm_CC46.tif
53;18430_51920_5cm_CC46;1843000;5192000;1843500;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18430_51920_5cm_CC46.tif
54;18435_51920_5cm_CC46;1843500;5192000;1844000;5192500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18435_51920_5cm_CC46.tif
55;18340_51915_5cm_CC46;1834000;5191500;1834500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18340_51915_5cm_CC46.tif
56;18345_51915_5cm_CC46;1834500;5191500;1835000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18345_51915_5cm_CC46.tif
57;18350_51915_5cm_CC46;1835000;5191500;1835500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18350_51915_5cm_CC46.tif
58;18355_51915_5cm_CC46;1835500;5191500;1836000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51915_5cm_CC46.tif
59;18360_51915_5cm_CC46;1836000;5191500;1836500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51915_5cm_CC46.tif
60;18365_51915_5cm_CC46;1836500;5191500;1837000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51915_5cm_CC46.tif
61;18370_51915_5cm_CC46;1837000;5191500;1837500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51915_5cm_CC46.tif
62;18375_51915_5cm_CC46;1837500;5191500;1838000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51915_5cm_CC46.tif
63;18380_51915_5cm_CC46;1838000;5191500;1838500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51915_5cm_CC46.tif
64;18385_51915_5cm_CC46;1838500;5191500;1839000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51915_5cm_CC46.tif
65;18390_51915_5cm_CC46;1839000;5191500;1839500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18390_51915_5cm_CC46.tif
66;18395_51915_5cm_CC46;1839500;5191500;1840000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18395_51915_5cm_CC46.tif
67;18400_51915_5cm_CC46;1840000;5191500;1840500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18400_51915_5cm_CC46.tif
68;18405_51915_5cm_CC46;1840500;5191500;1841000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18405_51915_5cm_CC46.tif
69;18410_51915_5cm_CC46;1841000;5191500;1841500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18410_51915_5cm_CC46.tif
70;18415_51915_5cm_CC46;1841500;5191500;1842000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18415_51915_5cm_CC46.tif
71;18420_51915_5cm_CC46;1842000;5191500;1842500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18420_51915_5cm_CC46.tif
72;18425_51915_5cm_CC46;1842500;5191500;1843000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18425_51915_5cm_CC46.tif
73;18430_51915_5cm_CC46;1843000;5191500;1843500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18430_51915_5cm_CC46.tif
74;18435_51915_5cm_CC46;1843500;5191500;1844000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18435_51915_5cm_CC46.tif
75;18440_51915_5cm_CC46;1844000;5191500;1844500;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18440_51915_5cm_CC46.tif
76;18445_51915_5cm_CC46;1844500;5191500;1845000;5192000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18445_51915_5cm_CC46.tif
77;18340_51910_5cm_CC46;1834000;5191000;1834500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18340_51910_5cm_CC46.tif
78;18345_51910_5cm_CC46;1834500;5191000;1835000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18345_51910_5cm_CC46.tif
79;18350_51910_5cm_CC46;1835000;5191000;1835500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18350_51910_5cm_CC46.tif
80;18355_51910_5cm_CC46;1835500;5191000;1836000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51910_5cm_CC46.tif
81;18360_51910_5cm_CC46;1836000;5191000;1836500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51910_5cm_CC46.tif
82;18365_51910_5cm_CC46;1836500;5191000;1837000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51910_5cm_CC46.tif
83;18370_51910_5cm_CC46;1837000;5191000;1837500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51910_5cm_CC46.tif
84;18375_51910_5cm_CC46;1837500;5191000;1838000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51910_5cm_CC46.tif
85;18380_51910_5cm_CC46;1838000;5191000;1838500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51910_5cm_CC46.tif
86;18385_51910_5cm_CC46;1838500;5191000;1839000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51910_5cm_CC46.tif
87;18390_51910_5cm_CC46;1839000;5191000;1839500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18390_51910_5cm_CC46.tif
88;18395_51910_5cm_CC46;1839500;5191000;1840000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18395_51910_5cm_CC46.tif
89;18400_51910_5cm_CC46;1840000;5191000;1840500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18400_51910_5cm_CC46.tif
90;18405_51910_5cm_CC46;1840500;5191000;1841000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18405_51910_5cm_CC46.tif
91;18410_51910_5cm_CC46;1841000;5191000;1841500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18410_51910_5cm_CC46.tif
92;18415_51910_5cm_CC46;1841500;5191000;1842000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18415_51910_5cm_CC46.tif
93;18420_51910_5cm_CC46;1842000;5191000;1842500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18420_51910_5cm_CC46.tif
94;18425_51910_5cm_CC46;1842500;5191000;1843000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18425_51910_5cm_CC46.tif
95;18430_51910_5cm_CC46;1843000;5191000;1843500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18430_51910_5cm_CC46.tif
96;18435_51910_5cm_CC46;1843500;5191000;1844000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18435_51910_5cm_CC46.tif
97;18440_51910_5cm_CC46;1844000;5191000;1844500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18440_51910_5cm_CC46.tif
98;18445_51910_5cm_CC46;1844500;5191000;1845000;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18445_51910_5cm_CC46.tif
99;18450_51910_5cm_CC46;1845000;5191000;1845500;5191500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18450_51910_5cm_CC46.tif
100;18340_51905_5cm_CC46;1834000;5190500;1834500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18340_51905_5cm_CC46.tif
101;18345_51905_5cm_CC46;1834500;5190500;1835000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18345_51905_5cm_CC46.tif
102;18350_51905_5cm_CC46;1835000;5190500;1835500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18350_51905_5cm_CC46.tif
103;18355_51905_5cm_CC46;1835500;5190500;1836000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51905_5cm_CC46.tif
104;18360_51905_5cm_CC46;1836000;5190500;1836500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51905_5cm_CC46.tif
105;18365_51905_5cm_CC46;1836500;5190500;1837000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51905_5cm_CC46.tif
106;18370_51905_5cm_CC46;1837000;5190500;1837500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51905_5cm_CC46.tif
107;18375_51905_5cm_CC46;1837500;5190500;1838000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51905_5cm_CC46.tif
108;18380_51905_5cm_CC46;1838000;5190500;1838500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51905_5cm_CC46.tif
109;18385_51905_5cm_CC46;1838500;5190500;1839000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18385_51905_5cm_CC46.tif
110;18390_51905_5cm_CC46;1839000;5190500;1839500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18390_51905_5cm_CC46.tif
111;18395_51905_5cm_CC46;1839500;5190500;1840000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18395_51905_5cm_CC46.tif
112;18400_51905_5cm_CC46;1840000;5190500;1840500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18400_51905_5cm_CC46.tif
113;18405_51905_5cm_CC46;1840500;5190500;1841000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18405_51905_5cm_CC46.tif
114;18410_51905_5cm_CC46;1841000;5190500;1841500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18410_51905_5cm_CC46.tif
115;18415_51905_5cm_CC46;1841500;5190500;1842000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18415_51905_5cm_CC46.tif
116;18420_51905_5cm_CC46;1842000;5190500;1842500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18420_51905_5cm_CC46.tif
117;18425_51905_5cm_CC46;1842500;5190500;1843000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18425_51905_5cm_CC46.tif
118;18430_51905_5cm_CC46;1843000;5190500;1843500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18430_51905_5cm_CC46.tif
119;18435_51905_5cm_CC46;1843500;5190500;1844000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18435_51905_5cm_CC46.tif
120;18440_51905_5cm_CC46;1844000;5190500;1844500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18440_51905_5cm_CC46.tif
121;18445_51905_5cm_CC46;1844500;5190500;1845000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18445_51905_5cm_CC46.tif
122;18450_51905_5cm_CC46;1845000;5190500;1845500;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18450_51905_5cm_CC46.tif
123;18455_51905_5cm_CC46;1845500;5190500;1846000;5191000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18455_51905_5cm_CC46.tif
124;18345_51900_5cm_CC46;1834500;5190000;1835000;5190500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18345_51900_5cm_CC46.tif
125;18350_51900_5cm_CC46;1835000;5190000;1835500;5190500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18350_51900_5cm_CC46.tif
126;18355_51900_5cm_CC46;1835500;5190000;1836000;5190500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18355_51900_5cm_CC46.tif
127;18360_51900_5cm_CC46;1836000;5190000;1836500;5190500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51900_5cm_CC46.tif
